,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
147,9,9,59,SingleRun,24,12,0.04,0.2,0.75,0,343,36,6,0.0,177,256,43,151
148,9,9,60,SingleRun,24,12,0.04,0.2,0.75,0,343,30,5,0.0,178,259,43,152
149,9,9,61,SingleRun,24,12,0.04,0.2,0.75,0,342,26,6,0.0,180,262,43,153
150,9,9,62,SingleRun,24,12,0.04,0.2,0.75,0,342,20,3,0.0,180,264,43,154
151,9,9,63,SingleRun,24,12,0.04,0.2,0.75,0,342,17,2,0.0,182,264,43,154
152,9,9,64,SingleRun,24,12,0.04,0.2,0.75,0,342,15,6,0.0,183,266,44,156
153,9,9,65,SingleRun,24,12,0.04,0.2,0.75,0,342,9,3,0.0,185,267,44,156
154,9,9,66,SingleRun,24,12,0.04,0.2,0.75,0,342,6,2,0.0,185,269,44,156
155,9,9,67,SingleRun,24,12,0.04,0.2,0.75,0,342,4,0,0.0,185,269,44,156
156,9,9,68,SingleRun,24,12,0.04,0.2,0.75,0,342,4,1,0.0,186,269,44,156
157,9,9,69,SingleRun,24,12,0.04,0.2,0.75,0,342,3,2,0.0,188,269,44,156
158,9,9,70,SingleRun,24,12,0.04,0.2,0.75,0,342,1,0,0.0,188,269,44,156
159,9,9,71,SingleRun,24,12,0.04,0.2,0.75,0,342,1,0,0.0,188,269,44,156
160,9,9,72,SingleRun,24,12,0.04,0.2,0.75,0,342,1,1,0.0,188,270,44,156
161,9,9,73,SingleRun,24,12,0.04,0.2,0.75,0,342,0,0,0.0,188,270,44,156
162,9,9,74,SingleRun,24,12,0.04,0.2,0.75,0,342,0,0,0.0,188,270,44,156
163,9,9,75,SingleRun,24,12,0.04,0.2,0.75,0,342,0,0,0.0,188,270,44,156
164,9,9,76,SingleRun,24,12,0.04,0.2,0.75,0,342,0,0,0.0,188,270,44,156
165,9,9,77,SingleRun,24,12,0.04,0.2,0.75,0,341,1,0,0.0,188,270,44,156
166,9,9,78,SingleRun,24,12,0.04,0.2,0.75,0,341,1,0,0.0,188,270,44,156
167,9,9,79,SingleRun,24,12,0.04,0.2,0.75,0,338,4,3,0.0,189,271,44,157
168,9,9,80,SingleRun,24,12,0.04,0.2,0.75,0,315,24,7,0.0,192,272,46,158
169,9,9,81,SingleRun,24,12,0.04,0.2,0.75,0,314,18,3,0.0,192,272,47,160
170,9,9,82,SingleRun,24,12,0.04,0.2,0.75,0,314,15,6,0.0,193,275,47,162
171,9,9,83,SingleRun,24,12,0.04,0.2,0.75,0,314,9,4,0.0,194,277,47,163
172,9,9,84,SingleRun,24,12,0.04,0.2,0.75,0,314,5,4,0.0,196,278,47,164
173,9,9,85,SingleRun,24,12,0.04,0.2,0.75,0,314,1,1,0.0,197,278,47,164
