,RunId,iteration,Step,outcome_collection,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
139,7,7,51,SingleRun,0.4,30,0.04,0.2,0.1,0,173,457,31,0.0,134,163,36,68
140,7,7,52,SingleRun,0.4,30,0.04,0.2,0.1,0,173,426,28,0.0,145,173,39,72
141,7,7,53,SingleRun,0.4,30,0.04,0.2,0.1,0,173,398,34,0.0,153,190,41,79
142,7,7,54,SingleRun,0.4,30,0.04,0.2,0.1,0,173,364,27,0.0,165,194,44,87
143,7,7,55,SingleRun,0.4,30,0.04,0.2,0.1,0,167,343,50,0.0,181,210,52,97
144,7,7,56,SingleRun,0.4,30,0.04,0.2,0.1,0,151,309,56,0.0,195,233,58,110
145,7,7,57,SingleRun,0.4,30,0.04,0.2,0.1,0,150,254,40,0.0,206,247,61,122
146,7,7,58,SingleRun,0.4,30,0.04,0.2,0.1,0,131,233,42,0.0,215,262,66,135
147,7,7,59,SingleRun,0.4,30,0.04,0.2,0.1,0,128,194,41,0.0,225,275,70,149
148,7,7,60,SingleRun,0.4,30,0.04,0.2,0.1,0,127,154,35,0.0,240,280,71,163
149,7,7,61,SingleRun,0.4,30,0.04,0.2,0.1,0,85,161,38,0.0,253,294,72,173
150,7,7,62,SingleRun,0.4,30,0.04,0.2,0.1,0,80,128,31,0.0,264,305,73,181
151,7,7,63,SingleRun,0.4,30,0.04,0.2,0.1,0,80,97,22,0.0,271,315,74,185
152,7,7,64,SingleRun,0.4,30,0.04,0.2,0.1,0,80,75,21,0.0,278,323,76,189
153,7,7,65,SingleRun,0.4,30,0.04,0.2,0.1,0,80,54,19,0.0,283,328,81,193
154,7,7,66,SingleRun,0.4,30,0.04,0.2,0.1,0,80,35,8,0.0,286,331,81,195
155,7,7,67,SingleRun,0.4,30,0.04,0.2,0.1,0,80,27,6,0.0,290,332,81,196
156,7,7,68,SingleRun,0.4,30,0.04,0.2,0.1,0,80,21,7,0.0,291,335,81,199
157,7,7,69,SingleRun,0.4,30,0.04,0.2,0.1,0,80,14,4,0.0,292,337,81,200
158,7,7,70,SingleRun,0.4,30,0.04,0.2,0.1,0,80,10,1,0.0,293,337,81,200
159,7,7,71,SingleRun,0.4,30,0.04,0.2,0.1,0,80,9,1,0.0,293,337,82,200
160,7,7,72,SingleRun,0.4,30,0.04,0.2,0.1,0,80,8,2,0.0,294,337,82,201
161,7,7,73,SingleRun,0.4,30,0.04,0.2,0.1,0,80,6,3,0.0,296,337,82,202
162,7,7,74,SingleRun,0.4,30,0.04,0.2,0.1,0,80,3,0,0.0,296,337,82,202
163,7,7,75,SingleRun,0.4,30,0.04,0.2,0.1,0,80,3,0,0.0,296,337,82,202
164,7,7,76,SingleRun,0.4,30,0.04,0.2,0.1,0,80,3,1,0.0,296,337,82,203
165,7,7,77,SingleRun,0.4,30,0.04,0.2,0.1,0,78,4,3,0.0,296,338,82,205
166,7,7,78,SingleRun,0.4,30,0.04,0.2,0.1,0,78,1,0,0.0,296,338,82,205
167,7,7,79,SingleRun,0.4,30,0.04,0.2,0.1,0,72,7,2,0.0,297,338,82,206
168,7,7,80,SingleRun,0.4,30,0.04,0.2,0.1,0,54,23,8,0.0,300,341,82,208
169,7,7,81,SingleRun,0.4,30,0.04,0.2,0.1,0,50,19,5,0.0,300,343,83,210
170,7,7,82,SingleRun,0.4,30,0.04,0.2,0.1,0,50,14,4,0.0,301,344,83,212
171,7,7,83,SingleRun,0.4,30,0.04,0.2,0.1,0,50,10,3,0.0,303,344,83,213
172,7,7,84,SingleRun,0.4,30,0.04,0.2,0.1,0,48,9,4,0.0,303,347,84,213
173,7,7,85,SingleRun,0.4,30,0.04,0.2,0.1,0,48,5,3,0.0,305,348,84,213
174,7,7,86,SingleRun,0.4,30,0.04,0.2,0.1,0,48,2,1,0.0,305,349,84,213
175,7,7,87,SingleRun,0.4,30,0.04,0.2,0.1,0,48,1,0,52.765509989484755,305,349,84,213
176,11,11,0,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
177,11,11,1,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
178,11,11,2,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
179,11,11,3,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
180,11,11,4,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
181,11,11,5,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
182,11,11,6,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
183,11,11,7,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
184,11,11,8,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
185,11,11,9,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
186,11,11,10,SingleRun,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
187,11,11,11,SingleRun,0.4,30,0.04,0.2,0.1,945,55,0,0,0.0,0,0,0,0
188,11,11,12,SingleRun,0.4,30,0.04,0.2,0.1,917,82,1,0,0.0,0,0,0,0
189,11,11,13,SingleRun,0.4,30,0.04,0.2,0.1,449,534,17,0,0.0,0,0,0,0
