,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
228,12,6,12,6,100,0.25,0.25,0.5,0.5,0.0
229,100,100,6,2,100,0.0,0.5,0.5,0.5,0.25
230,3,12,2,6,12,0.75,0.75,0.75,0.5,0.75
231,3,6,2,2,100,1.0,0.5,1.0,1.0,0.5
232,100,12,100,2,100,0.0,0.75,0.5,1.0,0.0
233,3,3,2,2,100,0.5,1.0,1.0,0.75,0.0
234,6,12,3,6,3,0.75,0.5,0.25,0.75,0.5
235,100,2,100,2,100,0.0,0.75,0.25,1.0,0.0
236,6,2,3,6,100,0.5,0.75,0.75,0.75,0.25
237,12,12,12,12,12,0.5,0.5,0.5,0.5,0.5
238,2,2,2,2,2,0.5,0.75,0.75,0.75,0.5
239,12,3,3,3,100,0.25,0.75,0.5,0.75,0.25
240,3,2,2,2,100,0.25,0.75,0.75,1.0,0.0
241,100,12,2,2,100,0.5,0.5,0.75,0.5,0.0
242,100,3,3,3,100,0.0,0.75,0.75,0.75,0.5
243,100,2,3,2,100,0.0,0.5,0.5,1.0,0.0
244,2,2,2,2,100,0.5,0.75,0.75,0.75,0.0
245,100,2,12,3,12,0.25,1.0,0.25,1.0,1.0
246,3,6,3,2,100,0.75,1.0,0.75,1.0,0.75
247,100,100,3,2,12,0.0,0.5,0.75,1.0,1.0
248,100,100,3,2,100,0.25,0.75,0.25,1.0,1.0
249,3,2,3,2,2,0.75,1.0,1.0,0.75,0.5
250,6,6,6,6,100,0.5,0.5,0.5,0.5,0.5
251,6,12,3,6,100,0.5,0.75,0.5,0.75,1.0
252,100,6,3,2,100,0.25,1.0,1.0,1.0,1.0
253,6,12,6,3,6,0.5,0.5,0.25,0.5,0.5
254,100,3,3,3,6,0.25,0.75,0.25,1.0,0.75
255,3,6,3,6,6,0.75,0.5,0.5,0.5,0.5
256,6,12,2,2,100,0.5,0.75,0.75,1.0,0.5
257,12,12,3,6,100,0.0,0.5,0.25,0.5,0.5
258,100,12,2,2,12,0.0,1.0,1.0,1.0,1.0
259,3,3,2,2,100,1.0,0.75,0.75,1.0,0.5
260,100,2,2,2,100,0.0,0.75,0.25,1.0,0.25
261,2,2,2,2,12,0.75,0.75,1.0,0.75,0.25
262,2,6,2,2,12,0.75,0.75,1.0,1.0,0.75
263,12,100,12,12,100,0.75,0.75,0.75,0.75,0.75
264,12,6,3,2,12,0.25,0.5,0.5,0.75,0.5
265,2,3,2,2,3,0.25,0.25,0.5,0.5,0.5
266,3,2,2,2,2,1.0,0.75,1.0,0.75,1.0
267,100,6,3,2,3,0.5,0.5,0.25,1.0,0.75
