,RA,EI,ECB
353,0.7065288875603146,1.0,0.7750915709885119
354,-0.41605920103287874,0.6886621430598051,0.49181711236377534
355,0.5294809418552832,0.58327371109,0.943772892747128
359,-0.5000000000000001,0.27782772013824336,0.25
360,0.3166697416619606,0.5831054156038714,0.5562271072528719
363,-0.8300658145578825,1.0,0.9999999999999999
364,1.0,1.0,0.9999999999999999
365,-0.07310057460954897,0.7135694598155732,0.5381977122887067
366,0.7480959328067052,0.9005034340186333,0.7499999999999999
367,0.2065288875603144,0.9605979972096103,0.48689385869980506
368,0.15198020082163188,0.8654028412513352,0.7881977122887067
369,0.5910545592300349,0.7949467065626996,0.5993480732055491
370,0.6530178688528515,0.8490116908738399,0.9999999999999999
371,0.5000000000000003,0.6141595475021172,0.4819706050358348
372,-1.0,1.0,0.943772892747128
373,9.71445146547012e-17,0.8057931531678852,0.7499999999999999
375,-0.15384931648275663,0.8507398597305847,0.8444248195415787
376,-0.47558023089975576,1.0,0.6888496390831577
378,0.5000000000000003,0.9502364257119515,0.6937728927471278
379,0.34212717879342447,0.7396690110970715,0.905575180458421
380,-0.4450057358874172,1.0,0.6375457854942559
382,0.4268994253904511,0.7062965871865184,0.3875457854942559
383,-0.5000000000000001,0.9502364257119515,0.19377289274712806
384,-1.0,1.0,0.9999999999999999
386,0.5000000000000003,0.4618412909588281,0.6375457854942559
387,-0.5000000000000001,0.8817939916288305,0.3062271072528719
389,-0.10463410397270725,0.9502364257119515,0.3444248195415789
390,-0.5000000000000001,0.8555567274559337,0.6888496390831577
391,-1.0,1.0,0.9999999999999999
392,-0.08394079896712095,0.6711959944192204,0.5944248195415788
393,0.07363498161029394,1.0,0.7750915709885119
394,0.5103058173568276,1.0,0.48689385869980506
395,-0.1571230438686017,0.684529028522842,0.5381977122887067
396,0.45614300087415016,1.0,0.3875457854942559
398,9.71445146547012e-17,0.5000000000000001,0.25
400,-0.5661315290993157,0.7282324413363236,0.7881977122887067
402,-0.5000000000000001,0.615372258656605,0.5381977122887067
403,0.2616754775493777,0.6668945843961286,0.7881977122887067
404,0.2070632945610591,1.0,0.49999999999999994
406,0.09805475071053837,0.6942068468321149,0.6375457854942559
407,-1.0,1.0,0.9999999999999999
409,0.30538393993048824,0.7342620202161603,0.293120965952677
410,0.11022968372849067,0.873191171582647,0.3826225318302856
411,1.0,1.0,0.9999999999999999
412,-0.39863962341313774,1.0,0.6375457854942559
413,0.8217309144169991,0.8992601402694154,0.943772892747128
414,0.4263650183897064,1.0,0.8444248195415787
415,0.8178908815399305,1.0,0.581318678241384
416,0.5000000000000003,0.7062965871865184,0.443772892747128
417,0.5000000000000003,0.7105979972096103,0.7499999999999999
418,-0.24931707268467485,0.3726757138803898,0.43884963908315777
419,-0.6467355562198428,1.0,0.9999999999999999
420,0.2806982761713529,0.9562965871865186,0.49999999999999994
421,-0.3217309144169988,0.8611014312282435,0.3875457854942559
424,0.1956886632027424,1.0,0.680666751446933
425,0.43979223725589844,0.7900857559787756,0.8313186782413838
428,9.71445146547012e-17,0.7549851632114776,0.0
429,0.112282271236366,1.0,0.7750915709885119
430,0.36669166264634934,1.0,0.9999999999999999
431,0.6467355562198429,0.8550412697536766,0.8062271072528719
432,-0.47558023089975576,0.8671310101080802,0.943772892747128
433,0.6220536815924489,0.9168945843961287,0.5381977122887067
434,-0.5985891577112831,0.7937034128134817,0.5944248195415788
435,1.0,1.0,0.9999999999999999
436,0.5015181805071308,0.9005034340186333,0.943772892747128
438,0.7519040671932951,0.90653301289847,0.943772892747128
439,0.2801638691706082,1.0,0.3875457854942559
440,9.71445146547012e-17,0.65653301289847,0.9999999999999999
441,-0.49019744367364726,1.0,0.9999999999999999
442,-0.3532644437801573,0.6668945843961286,0.2881977122887067
443,-0.3287311058975022,0.7997635742880485,0.6506519267944507
